burst_n,repeat,seq,status,window_id,submit_ts,commit_ts,credit_ts,ack_ts,commit_latency_s,forward_latency_s,roundtrip_latency_s
40,1,0,acked,0,1787694858.327636,1787695061.303455,1787695074.195419,1787695582.7289464,202.97581911087036,215.8677830696106,724.4013104438782
40,1,1,acked,0,1787694863.0309331,1787695061.4045632,1787695086.826952,1787695587.7915773,198.37363004684448,223.79601883888245,724.760644197464
40,1,2,acked,0,1787694869.8389409,1787695061.5152109,1787695099.4441319,1787695592.8701148,191.67627000808716,229.60519099235535,723.0311739444733
40,1,3,acked,0,1787694874.5525894,1787695061.627924,1787695112.0876706,1787695597.9464555,187.0753345489502,237.53508114814758,723.3938660621643
40,1,4,acked,0,1787694879.2497568,1787695061.7407591,1787695124.7437365,1787695603.02597,182.4910023212433,245.4939796924591,723.7762131690979
40,1,5,acked,0,1787694883.9360387,1787695061.8513737,1787695137.3844104,1787695608.0869133,177.91533493995667,253.44837164878845,724.1508746147156
40,1,6,acked,0,1787694888.6436925,1787695061.9581249,1787695150.0251958,1787695613.1593301,173.31443238258362,261.38150334358215,724.5156376361847
40,1,7,acked,0,1787694893.3486528,1787695062.0759554,1787695158.6492221,1787695618.2496161,168.72730255126953,265.3005692958832,724.900963306427
40,1,8,acked,0,1787694900.2031178,1787695062.1845663,1787695171.2830248,1787695760.11524,161.98144841194153,271.0799069404602,859.9121222496033
40,1,9,acked,0,1787694904.9013004,1787695062.292658,1787695183.9236734,1787695765.2081032,157.39135766029358,279.0223729610443,860.3068027496338
40,1,10,acked,0,1787694909.5752084,1787695062.4024959,1787695196.5737576,1787695770.2911818,152.82728743553162,286.99854922294617,860.7159733772278
40,1,11,acked,0,1787694914.2743769,1787695062.512818,1787695209.2066295,1787695775.354548,148.23844122886658,294.93225264549255,861.0801711082458
40,1,12,acked,0,1787694918.9693222,1787695062.612258,1787695221.8472474,1787695780.43367,143.64293575286865,302.877925157547,861.4643478393555
40,1,13,acked,0,1787694923.6818614,1787695062.7233922,1787695238.5180285,1787695785.5080185,139.04153084754944,314.8361670970917,861.8261570930481
40,1,14,acked,0,1787694928.388754,1787695062.8316288,1787695251.1498291,1787695790.5782902,134.44287490844727,322.761075258255,862.1895363330841
